,dates
1478,15-03-1960
1479,16-03-1960
1480,17-03-1960
1481,18-03-1960
1482,19-03-1960
1483,21-03-1960
1484,22-03-1960
1485,23-03-1960
1486,24-03-1960
1487,25-03-1960
1488,26-03-1960
1489,28-03-1960
1490,29-03-1960
1491,30-03-1960
1492,31-03-1960
1493,01-04-1960
1494,02-04-1960
1495,04-04-1960
1496,05-04-1960
1497,06-04-1960
1498,07-04-1960
1499,08-04-1960
1500,09-04-1960
1501,11-04-1960
1502,12-04-1960
1503,13-04-1960
1504,14-04-1960
1505,15-04-1960
1506,16-04-1960
1507,19-04-1960
1508,20-04-1960
1509,21-04-1960
1510,22-04-1960
1511,23-04-1960
1512,25-04-1960
1513,26-04-1960
1514,27-04-1960
1515,28-04-1960
1516,29-04-1960
1517,02-05-1960
1518,03-05-1960
1519,04-05-1960
1520,06-05-1960
1521,07-05-1960
1522,09-05-1960
1523,10-05-1960
1524,11-05-1960
1525,12-05-1960
1526,13-05-1960
1527,14-05-1960
1528,16-05-1960
1529,17-05-1960
1530,18-05-1960
1531,19-05-1960
1532,20-05-1960
1533,21-05-1960
1534,23-05-1960
1535,24-05-1960
1536,25-05-1960
1537,27-05-1960
1538,28-05-1960
1539,30-05-1960
1540,31-05-1960
1541,01-06-1960
1542,02-06-1960
1543,03-06-1960
1544,04-06-1960
1545,07-06-1960
1546,08-06-1960
1547,09-06-1960
1548,10-06-1960
1549,11-06-1960
1550,13-06-1960
1551,14-06-1960
1552,15-06-1960
1553,16-06-1960
1554,17-06-1960
1555,18-06-1960
1556,20-06-1960
1557,21-06-1960
1558,22-06-1960
1559,23-06-1960
1560,24-06-1960
1561,25-06-1960
1562,27-06-1960
1563,28-06-1960
1564,29-06-1960
1565,30-06-1960
1566,01-07-1960
1567,02-07-1960
1568,04-07-1960
1569,05-07-1960
1570,06-07-1960
1571,07-07-1960
1572,08-07-1960
1573,09-07-1960
1574,11-07-1960
1575,12-07-1960
1576,13-07-1960
1577,14-07-1960
1578,15-07-1960
1579,16-07-1960
1580,18-07-1960
1581,19-07-1960
1582,20-07-1960
1583,21-07-1960
1584,22-07-1960
1585,23-07-1960
1586,25-07-1960
1587,26-07-1960
1588,27-07-1960
1589,28-07-1960
1590,29-07-1960
1591,30-07-1960
1592,01-08-1960
1593,02-08-1960
1594,03-08-1960
1595,04-08-1960
1596,05-08-1960
1597,06-08-1960
1598,08-08-1960
1599,09-08-1960
1600,10-08-1960
1601,11-08-1960
1602,12-08-1960
1603,13-08-1960
1604,15-08-1960
1605,16-08-1960
1606,17-08-1960
1607,18-08-1960
1608,19-08-1960
1609,20-08-1960
1610,22-08-1960
1611,23-08-1960
1612,24-08-1960
1613,25-08-1960
1614,26-08-1960
1615,27-08-1960
1616,29-08-1960
1617,30-08-1960
1618,31-08-1960
1619,01-09-1960
1620,02-09-1960
1621,03-09-1960
1622,05-09-1960
1623,06-09-1960
1624,07-09-1960
1625,08-09-1960
1626,09-09-1960
1627,10-09-1960
1628,12-09-1960
1629,13-09-1960
1630,14-09-1960
1631,15-09-1960
1632,16-09-1960
1633,17-09-1960
1634,19-09-1960
1635,20-09-1960
1636,21-09-1960
1637,22-09-1960
1638,23-09-1960
1639,24-09-1960
1640,26-09-1960
1641,27-09-1960
1642,28-09-1960
1643,29-09-1960
1644,30-09-1960
1645,01-10-1960
1646,03-10-1960
1647,04-10-1960
1648,05-10-1960
1649,06-10-1960
1650,07-10-1960
1651,08-10-1960
1652,10-10-1960
1653,11-10-1960
1654,12-10-1960
1655,13-10-1960
1656,14-10-1960
1657,15-10-1960
1658,17-10-1960
1659,18-10-1960
1660,19-10-1960
1661,20-10-1960
1662,21-10-1960
1663,22-10-1960
1664,24-10-1960
1665,25-10-1960
1666,26-10-1960
1667,27-10-1960
1668,28-10-1960
1669,29-10-1960
1670,31-10-1960
1671,01-11-1960
1672,02-11-1960
1673,03-11-1960
1674,04-11-1960
1675,05-11-1960
1676,07-11-1960
1677,08-11-1960
1678,09-11-1960
1679,10-11-1960
1680,11-11-1960
1681,12-11-1960
1682,14-11-1960
1683,15-11-1960
1684,16-11-1960
1685,17-11-1960
1686,18-11-1960
1687,19-11-1960
1688,21-11-1960
1689,22-11-1960
1690,23-11-1960
1691,24-11-1960
1692,25-11-1960
1693,26-11-1960
1694,28-11-1960
1695,29-11-1960
1696,30-11-1960
1697,01-12-1960
1698,02-12-1960
1699,03-12-1960
1700,05-12-1960
1701,06-12-1960
1702,07-12-1960
1703,08-12-1960
1704,09-12-1960
1705,10-12-1960
1706,12-12-1960
1707,13-12-1960
1708,14-12-1960
1709,15-12-1960
1710,16-12-1960
1711,17-12-1960
1712,19-12-1960
1713,20-12-1960
1714,21-12-1960
1715,22-12-1960
1716,23-12-1960
1717,24-12-1960
1718,27-12-1960
1719,28-12-1960
1720,29-12-1960
1721,30-12-1960
1722,31-12-1960
1723,02-01-1961
1724,03-01-1961
1725,04-01-1961
1726,05-01-1961
1727,06-01-1961
1728,07-01-1961
1729,09-01-1961
1730,10-01-1961
1731,11-01-1961
1732,12-01-1961
1733,13-01-1961
1734,14-01-1961
1735,16-01-1961
1736,17-01-1961
1737,18-01-1961
1738,19-01-1961
1739,20-01-1961
1740,21-01-1961
1741,23-01-1961
1742,24-01-1961
1743,25-01-1961
1744,26-01-1961
1745,27-01-1961
1746,28-01-1961
1747,30-01-1961
1748,31-01-1961
1749,01-02-1961
1750,02-02-1961
1751,03-02-1961
1752,04-02-1961
1753,06-02-1961
1754,07-02-1961
1755,08-02-1961
1756,09-02-1961
1757,10-02-1961
1758,11-02-1961
1759,13-02-1961
1760,14-02-1961
1761,15-02-1961
1762,16-02-1961
1763,17-02-1961
1764,18-02-1961
1765,20-02-1961
1766,21-02-1961
1767,22-02-1961
1768,23-02-1961
1769,24-02-1961
1770,25-02-1961
1771,27-02-1961
1772,28-02-1961
1773,01-03-1961
1774,02-03-1961
1775,03-03-1961
1776,04-03-1961
1777,06-03-1961
1778,07-03-1961
1779,08-03-1961
1780,09-03-1961
1781,10-03-1961
1782,11-03-1961
1783,13-03-1961
1784,14-03-1961
1785,15-03-1961
1786,16-03-1961
1787,17-03-1961
1788,18-03-1961
1789,20-03-1961
1790,21-03-1961
1791,22-03-1961
1792,23-03-1961
1793,24-03-1961
1794,25-03-1961
1795,27-03-1961
1796,28-03-1961
1797,29-03-1961
1798,30-03-1961
1799,31-03-1961
1800,01-04-1961
1801,04-04-1961
1802,05-04-1961
1803,06-04-1961
1804,07-04-1961
1805,08-04-1961
1806,10-04-1961
1807,11-04-1961
1808,12-04-1961
1809,13-04-1961
1810,14-04-1961
1811,15-04-1961
1812,17-04-1961
1813,18-04-1961
1814,19-04-1961
1815,20-04-1961
1816,21-04-1961
1817,22-04-1961
1818,24-04-1961
1819,25-04-1961
1820,26-04-1961
1821,27-04-1961
1822,28-04-1961
1823,29-04-1961
1824,02-05-1961
1825,03-05-1961
1826,04-05-1961
1827,05-05-1961
1828,06-05-1961
1829,08-05-1961
1830,09-05-1961
1831,10-05-1961
1832,12-05-1961
1833,13-05-1961
1834,15-05-1961
1835,16-05-1961
1836,17-05-1961
1837,18-05-1961
1838,19-05-1961
1839,20-05-1961
1840,23-05-1961
1841,24-05-1961
1842,25-05-1961
1843,26-05-1961
1844,27-05-1961
1845,29-05-1961
1846,30-05-1961
1847,31-05-1961
1848,01-06-1961
1849,02-06-1961
1850,03-06-1961
1851,05-06-1961
1852,06-06-1961
1853,07-06-1961
1854,08-06-1961
1855,09-06-1961
1856,10-06-1961
1857,12-06-1961
1858,13-06-1961
1859,14-06-1961
1860,15-06-1961
1861,16-06-1961
1862,17-06-1961
1863,19-06-1961
1864,20-06-1961
1865,21-06-1961
1866,22-06-1961
1867,23-06-1961
1868,24-06-1961
1869,26-06-1961
1870,27-06-1961
1871,28-06-1961
1872,29-06-1961
1873,30-06-1961
1874,01-07-1961
1875,03-07-1961
1876,04-07-1961
1877,05-07-1961
1878,06-07-1961
1879,07-07-1961
1880,08-07-1961
1881,10-07-1961
1882,11-07-1961
1883,12-07-1961
1884,13-07-1961
1885,14-07-1961
1886,15-07-1961
1887,17-07-1961
1888,18-07-1961
1889,19-07-1961
1890,20-07-1961
1891,21-07-1961
1892,22-07-1961
1893,24-07-1961
1894,25-07-1961
1895,26-07-1961
1896,27-07-1961
1897,28-07-1961
1898,29-07-1961
1899,31-07-1961
1900,01-08-1961
1901,02-08-1961
1902,03-08-1961
1903,04-08-1961
1904,05-08-1961
1905,07-08-1961
1906,08-08-1961
1907,09-08-1961
1908,10-08-1961
1909,11-08-1961
1910,12-08-1961
1911,14-08-1961
1912,15-08-1961
1913,16-08-1961
1914,17-08-1961
1915,18-08-1961
1916,19-08-1961
1917,21-08-1961
1918,22-08-1961
1919,23-08-1961
1920,24-08-1961
1921,25-08-1961
1922,26-08-1961
1923,28-08-1961
1924,29-08-1961
1925,30-08-1961
1926,31-08-1961
1927,01-09-1961
1928,02-09-1961
1929,04-09-1961
1930,05-09-1961
1931,06-09-1961
1932,07-09-1961
1933,08-09-1961
1934,09-09-1961
1935,11-09-1961
1936,12-09-1961
1937,13-09-1961
1938,14-09-1961
1939,15-09-1961
1940,16-09-1961
1941,18-09-1961
1942,19-09-1961
1943,20-09-1961
1944,21-09-1961
1945,22-09-1961
1946,23-09-1961
1947,25-09-1961
1948,26-09-1961
1949,27-09-1961
1950,28-09-1961
1951,29-09-1961
1952,30-09-1961
1953,02-10-1961
1954,03-10-1961
1955,04-10-1961
1956,05-10-1961
1957,06-10-1961
1958,07-10-1961
1959,09-10-1961
1960,10-10-1961
1961,11-10-1961
1962,12-10-1961
1963,13-10-1961
1964,14-10-1961
1965,16-10-1961
1966,17-10-1961
1967,18-10-1961
1968,19-10-1961
1969,20-10-1961
1970,21-10-1961
1971,23-10-1961
1972,24-10-1961
1973,25-10-1961
1974,26-10-1961
1975,27-10-1961
1976,28-10-1961
1977,30-10-1961
1978,31-10-1961
1979,01-11-1961
1980,02-11-1961
1981,03-11-1961
1982,04-11-1961
1983,06-11-1961
1984,07-11-1961
1985,08-11-1961
1986,09-11-1961
1987,10-11-1961
1988,11-11-1961
1989,13-11-1961
1990,14-11-1961
1991,15-11-1961
1992,16-11-1961
1993,17-11-1961
1994,18-11-1961
1995,20-11-1961
1996,21-11-1961
1997,22-11-1961
1998,23-11-1961
1999,24-11-1961
2000,25-11-1961
2001,27-11-1961
2002,28-11-1961
2003,29-11-1961
2004,30-11-1961
2005,01-12-1961
2006,02-12-1961
2007,04-12-1961
2008,05-12-1961
2009,06-12-1961
2010,07-12-1961
2011,08-12-1961
2012,09-12-1961
2013,11-12-1961
2014,12-12-1961
2015,13-12-1961
2016,14-12-1961
2017,15-12-1961
2018,16-12-1961
2019,18-12-1961
2020,19-12-1961
2021,20-12-1961
2022,21-12-1961
2023,22-12-1961
2024,23-12-1961
2025,27-12-1961
2026,28-12-1961
2027,29-12-1961
2028,30-12-1961
2029,21-02-1962
2030,23-02-1962
2031,09-06-1962
2032,15-08-1962
2033,01-11-1962
2034,28-01-1963
2035,01-03-1963
2036,07-08-1963
2037,15-08-1963
2038,01-11-1963
2039,28-03-1964
2040,25-06-1964
2041,15-08-1964
2042,22-08-1964
2043,07-05-1965
2044,17-09-1965
2045,01-11-1965
2046,15-08-1966
2047,01-11-1966
2048,01-12-1970
2049,02-12-1970
2050,03-12-1970
2051,04-12-1970
2052,05-12-1970
2053,07-12-1970
2054,08-12-1970
2055,09-12-1970
2056,10-12-1970
2057,11-12-1970
2058,12-12-1970
2059,14-12-1970
2060,15-12-1970
2061,16-12-1970
2062,17-12-1970
2063,18-12-1970
2064,19-12-1970
2065,21-12-1970
2066,22-12-1970
2067,23-12-1970
2068,24-12-1970
2069,28-12-1970
2070,29-12-1970
2071,30-12-1970
2072,31-12-1970
2073,01-03-1975
2074,03-03-1975
2075,04-03-1975
2076,05-03-1975
2077,06-03-1975
2078,07-03-1975
2079,08-03-1975
2080,10-03-1975
2081,11-03-1975
2082,12-03-1975
2083,13-03-1975
2084,14-03-1975
2085,15-03-1975
2086,17-03-1975
2087,18-03-1975
2088,19-03-1975
2089,20-03-1975
2090,21-03-1975
2091,22-03-1975
2092,24-03-1975
2093,25-03-1975
2094,26-03-1975
2095,27-03-1975
2096,28-03-1975
2097,29-03-1975
2098,01-05-1976
2099,03-05-1976
2100,04-05-1976
2101,05-05-1976
2102,06-05-1976
2103,07-05-1976
2104,08-05-1976
2105,10-05-1976
2106,11-05-1976
2107,12-05-1976
2108,13-05-1976
2109,14-05-1976
2110,15-05-1976
2111,17-05-1976
2112,18-05-1976
2113,19-05-1976
2114,20-05-1976
2115,21-05-1976
2116,22-05-1976
2117,24-05-1976
2118,25-05-1976
2119,26-05-1976
2120,28-05-1976
2121,29-05-1976
2122,31-05-1976
2123,01-07-1976
2124,02-07-1976
2125,03-07-1976
2126,05-07-1976
2127,06-07-1976
2128,07-07-1976
2129,08-07-1976
2130,09-07-1976
2131,10-07-1976
2132,12-07-1976
2133,13-07-1976
2134,14-07-1976
2135,15-07-1976
2136,16-07-1976
2137,17-07-1976
2138,19-07-1976
2139,20-07-1976
2140,21-07-1976
2141,22-07-1976
2142,23-07-1976
2143,24-07-1976
2144,26-07-1976
2145,27-07-1976
2146,28-07-1976
2147,29-07-1976
2148,30-07-1976
2149,31-07-1976
2150,02-08-1976
2151,03-08-1976
2152,04-08-1976
2153,05-08-1976
2154,06-08-1976
2155,07-08-1976
2156,09-08-1976
2157,10-08-1976
2158,11-08-1976
2159,12-08-1976
2160,13-08-1976
2161,14-08-1976
2162,16-08-1976
2163,17-08-1976
2164,18-08-1976
2165,19-08-1976
2166,20-08-1976
2167,21-08-1976
2168,23-08-1976
2169,24-08-1976
2170,25-08-1976
2171,26-08-1976
2172,27-08-1976
2173,28-08-1976
2174,30-08-1976
2175,31-08-1976
2176,01-09-1976
2177,02-09-1976
2178,03-09-1976
2179,04-09-1976
2180,06-09-1976
2181,07-09-1976
2182,08-09-1976
2183,09-09-1976
2184,10-09-1976
2185,11-09-1976
2186,13-09-1976
2187,14-09-1976
2188,15-09-1976
2189,16-09-1976
2190,17-09-1976
2191,18-09-1976
2192,20-09-1976
2193,21-09-1976
2194,22-09-1976
2195,23-09-1976
2196,24-09-1976
2197,25-09-1976
2198,27-09-1976
2199,28-09-1976
2200,29-09-1976
2201,30-09-1976
2202,01-02-1977
2203,02-02-1977
2204,03-02-1977
2205,04-02-1977
2206,05-02-1977
2207,07-02-1977
2208,08-02-1977
2209,09-02-1977
2210,10-02-1977
2211,11-02-1977
2212,12-02-1977
2213,14-02-1977
2214,15-02-1977
2215,16-02-1977
2216,17-02-1977
2217,18-02-1977
2218,19-02-1977
2219,21-02-1977
2220,22-02-1977
2221,23-02-1977
2222,24-02-1977
2223,25-02-1977
2224,26-02-1977
2225,28-02-1977
2226,22-04-1977
2227,01-03-1978
2228,02-03-1978
2229,03-03-1978
2230,04-03-1978
2231,06-03-1978
2232,07-03-1978
2233,08-03-1978
2234,09-03-1978
2235,10-03-1978
2236,11-03-1978
2237,13-03-1978
2238,14-03-1978
2239,15-03-1978
2240,16-03-1978
2241,17-03-1978
2242,18-03-1978
2243,20-03-1978
2244,21-03-1978
2245,22-03-1978
2246,23-03-1978
2247,24-03-1978
2248,25-03-1978
2249,28-03-1978
2250,29-03-1978
2251,30-03-1978
2252,31-03-1978
2253,01-05-1979
2254,02-05-1979
2255,03-05-1979
2256,04-05-1979
2257,05-05-1979
2258,07-05-1979
2259,08-05-1979
2260,09-05-1979
2261,01-06-1979
2262,02-06-1979
2263,05-06-1979
2264,06-06-1979
2265,07-06-1979
2266,08-06-1979
2267,09-06-1979
2268,11-06-1979
2269,12-06-1979
2270,13-06-1979
2271,14-06-1979
2272,15-06-1979
2273,16-06-1979
2274,18-06-1979
2275,19-06-1979
2276,20-06-1979
2277,21-06-1979
2278,22-06-1979
2279,23-06-1979
2280,25-06-1979
2281,26-06-1979
2282,27-06-1979
2283,28-06-1979
2284,29-06-1979
2285,30-06-1979
2286,02-07-1979
2287,03-07-1979
2288,04-07-1979
2289,05-07-1979
2290,06-07-1979
2291,07-07-1979
2292,09-07-1979
2293,10-07-1979
2294,11-07-1979
2295,12-07-1979
2296,13-07-1979
2297,14-07-1979
2298,16-07-1979
2299,17-07-1979
2300,18-07-1979
2301,19-07-1979
2302,20-07-1979
2303,21-07-1979
2304,23-07-1979
2305,24-07-1979
2306,25-07-1979
2307,26-07-1979
2308,27-07-1979
2309,28-07-1979
2310,30-07-1979
2311,31-07-1979
2312,01-08-1979
2313,02-08-1979
2314,03-08-1979
2315,04-08-1979
2316,06-08-1979
2317,07-08-1979
2318,08-08-1979
2319,09-08-1979
2320,10-08-1979
2321,11-08-1979
2322,13-08-1979
2323,14-08-1979
2324,15-08-1979
2325,16-08-1979
2326,17-08-1979
2327,18-08-1979
2328,20-08-1979
2329,21-08-1979
2330,22-08-1979
2331,23-08-1979
2332,24-08-1979
2333,25-08-1979
2334,27-08-1979
2335,28-08-1979
2336,29-08-1979
2337,30-08-1979
2338,31-08-1979
2339,05-03-1980
2340,31-01-1983
2341,13-05-1985
2342,31-12-1987
2343,16-02-1988
